Part protocol
Network name;Part_Maxymos_1_MP-001_2017-02-22_16-18-08_Sila_bl_trans050obr_000045_OK.csv
Protocol version;3.01.00






Result information
Date;2017/02/22
Time;16:18:08
Cycle number;45
Total result;OK
Triggered switch signals
Part serial number;Sila_bl_trans050obr_000045
Measuring program name;BL_rans
Measuring program number;1
Zero X offset;0.00;mm
Tara Y offset;0.00;N









Process values - curve related
Block X;12.00;mm;XMIN-X;9.05;mm
Block Y;1276.47;N;XMIN-Y;-0.07;N
Ref X;10.96;mm;XMAX-X;12.00;mm
Peak-peak X;2.95;mm;XMAX-Y;1276.47;N
Peak-peak Y;8284.97;N;YMIN-X;9.05;mm
;;;YMIN-Y;-0.07;N
;;;YMAX-X;11.30;mm
;;;YMAX-Y;8284.89;N

Process values - EO related;Result;Entry;Exit;XMIN-X;XMIN-Y;XMAX-X;XMAX-Y;YMIN-Y;YMIN-X;YMAX-Y;YMAX-X;Calculated result;NOK cause;Violation X;Violation Y;Ref X;Ref Y;Switch force;Y-Diff;X-Diff;Force deviation ratio;Click ratio;Contact edge
;;;;mm;N;mm;N;N;mm;N;mm;-;-;-;-;-;-;-;-;-;-;-;-;
EO-01;OK;10.92;;;;;;;;;;;;;;;;
EO-02;OK;;;;;;;;;;;-0.3771;;;;;;
EO-03;OK;;;;;;;;;;;;;;;;;
EO-04;None;
EO-05;None;
EO-06;None;
EO-07;None;
EO-08;None;
EO-09;None;
EO-10;None;


















Evaluation objects settings;Reaction;X reference;Y-Reference;XMin;XMax;YMin;YMax;Entry;Exit;Curve part;Catch zone X;Catch zone Y;EO Name;EO description;Re-entry ignored;Generate statistics;X-Hysteresis;Y-Hysteresis;Down sampling rate;Calc limit min;Calc limit max;Grad limit min;Grad limit max;Hyst limit min;Hyst limit max;Speed limit min;Speed limit max;Time limit min;Time limit max;Is curve inside box;GetRef type;CalcInput1 | dx;CalcInput2 | dx;Calc operation;Average limit min;Average limit max;Break max bending;Visualization offset X;Visualization offset Y;-;-;-
EO-01;LINE-X;ABSOLUTE;ABSOLUTE;10.20;11.50;1000.00;;BELOW;NONE;ANY;+50%;+0%;;;FALSE;TRUE;0.0;0.0;1;;;;;;;;;;;;;;;;;;;0.00;0.00;;;
EO-02;CALC;ABSOLUTE;ABSOLUTE;9.94;;4671.78;;NONE;NONE;ANY;+0%;+0%;;;FALSE;TRUE;0.0;0.0;1;-0.410000;-0.310000;;;;;;;;;;;EO-01 | ENTRY;PV_TABLE_CURVE | YMAX-X;Subtraction;;;;0.00;0.00;;;
